RANK,SONG,ARTIST,YEAR,WEIGHT,SENT,DECADE,LYRICS
96,the race is on,jack jones,1965,5,1,60,i feel tears well in up from deep inside like my hearts goin to break and a stab of loneliness sharp and painful that i may never shake you might say that i was takin it hard since you gave me the final goodbye but dont you wager that ill hide the sorrow when i may break right down and cry now the race is on and here comes pride up the backstretch heartaches are goin to the inside my tears are holdin back theyre tryin not to fall my hearts out of the runnin true loves scratched for anothers sake the race is on and it looks like heartaches and the winner loses all one day i ventured in love never once suspectin what the final results would be how i lived in fear of wakin up each mornin and find that youre gone from me theres ache and pain in my heart for the name of the one that ill never replaced somebody new came up to win her and i came out in second place now the race is on and here comes pride up the backstretch heartaches are goin to the inside my tears are holdin back theyre tryin not to fall my hearts out of the runnin true loves scratched for anothers sake the race is on and it looks like heartaches and the winner loses all
98,the boy from new york city,the ad libs,1965,3,1,60,oo ah oo ah oo oo kitty tell us about the boy from new york city oo ah oo ah come on kitty tell us about the boy from new york city hes kinda tall hes really fine yeah yeah someday i hope to make him mine all mine yeah yeah and hes neat and oh so sweet and the way he looked at me just swept me off my feet yeah yeah oo ee you oughta come and see how he walks yeah yeah and he talks oo ah oo ah oo oos kitty tell us about the boy from new york city oo ah oo ah come on kitty tell us about the boy from new york city hes really down and hes no clown yeah yeah he has the finest penthouse ive ever seen in town yeah yeah and hes cute in his mohair suit and he keeps his pockets full of spending loot yeah yeah oo ee yeah were all right yeah oo oo evry time he says he loves me chills run down my spine evry time he wants to kiss me he makes me feel so fine thats him alright hes the boy from new york city we call him jill were all right oo ah oo ah kitty tell us about the boy from new york city oo ah oo ah kitty tell us about the boy from new york city
99,keep searchin well follow the sun,del shannon,1965,2,1,60, no one will understand what ive gotta do ive gotta find a place to hide with my baby by my side shes been hurt so much they treat her mean and cruel they try to keep us far apart theres only one thing left we can dowe gotta keep searchin searchin find a place to hide searchin searchin shell be by my side if we gotta keep on the run well follow the sunah weeooh follow the sunah weeoohdoesnt matter doesnt matter what people might say shes mine and im gonna take her anywaygotta keep searchin searchin find a place to stay searchin searchin every night and day if we gotta keep on the run well follow the sunah weeooh follow the sunah weeooh 
100,how sweet it is to be loved by you,marvin gaye,1965,1,3,60, how sweet it is to be loved by you yes baby how sweet it is to be loved by youooh baby i needed the shelter of someones arms and there you were i needed someone to understand my ups and downs and there you werewith sweet love and devotion deeply touching my emotioni want to stop stop and thank you baby i just want to stop and thank you baby hey nowhow sweet it is to be loved by you oh baby how sweet it is to be loved by you yes it isclose my eyes at night and wonder what would i be without you in my life everything was just a bore all the things i did seems ive done em before but you brightened up all of my days with a love so sweet in so many waysi want to stop stop and thank you baby i want to stop stop and thank you baby yeah how sweet it is to be loved by you oh yes it is how sweet it is to be loved by you yes it is babyyou were better to me than ive been to myself for me theres you and nobody elsestop stop and thank you baby i want to stop stop and thank you baby oh how sweet it is to be loved by you tell the truth baby how sweet it is to be loved by you well its like sugar in my soul how sweet it is to be loved by you oh yes it is 
2,cherish,the association,1966,99,2,60,cherish is the word i use to describe all the feeling that i have hiding here for you inside you dont know how many times ive wished that i had told you you dont know how many times ive wished that i could hold you you dont know how many times ive wished that i could mold you into someone who could cherish me as much as i cherish you perish is the word that more than applies to the hope in my heart each time i realize that i am not gonna be the one to share your dreams that i am not gonna be the one to share your schemes that i am not gonna be the one to share what seems to be the life that you could cherish as much as i do yours oh im beginning to think that man has never found the words that could make you want me that have the right amount of letters just the right sound that could make you hear make you see that you are drivin me out of my mind oh i could say i need you but then youd realize that i want you just like a thousand other guys whod say they loved you with all the rest of their lies when all they wanted was to touch your face your hands and gaze into your eyes cherish is the word i use to describe all the feeling that i have hiding here for you inside you dont know how many times ive wished that i had told you you dont know how many times ive wished that i could hold you you dont know how many times ive wished that i could mold you into someone who could cherish me as much as i cherish you and i do cherish you and i do cherish you cherish is the word
3,youre my soul and inspiration,the righteous brothers,1966,98,1,60, girl i cant let you do this let you walk away girl how can i live through this when youre all i wake up for each daybaby youre my soul and my lifes inspiration youre all ive got to get me by youre my soul and my inspiration without you baby what good am ii never had much goin but at least i had you how can you walk out knowin i aint got nothin left if you dobaby youre my soul and my lifes inspiration youre all ive got to get me by youre my soul and my inspiration without you baby what good am i oh what good am ibaby i cant make it withoutcha and im tellin ya honey youre my reason for laughin for cryin for livin and for dyinbaby i cant make it without you please im beggin you baby if you go it will kill me i swear it girl i just cant bear ityoure my soul and my lifes inspiration youre all ive got to get me by youre my soul and my inspiration without you baby what good am i oh what good am iyoure my soul and my lifes inspiration youre all ive got all ive got to get by soul inspiration oh baby im beggin you baby 
4,reach out ill be there,the four tops,1966,97,2,60, now if you feel that you cant go on because all of your hope is gone and your life is filled with much confusion until happiness is just an illusion and your world around is crumblin down darling reach out come on girl reach on out for me reach out reach out for me ill be there with a love that will shelter you ill be there with a love that will see you throughwhen you feel lost and about to give up cause your best just aint good enough and you feel the world has grown cold and youre drifting out all on your own and you need a hand to hold darling reach out come on girl reach out for me reach out reach out for me ill be there to love and comfort you and ill be there to cherish and care for you ill be there with a love that will see you through ill be there to love and comfort youi can tell the way you hang your head youre without love and now youre afraid and through your tears you look around but theres no peace of mind to be found i know what youre thinkin youre alone now no love of your own but darling reach out come on girl reach out for me reach out just look over your shoulder ill be there to give you all the love you need and ill be there you can always depend on me 
5,96 tears,  the mysterians,1966,96,0,60,  the mysterians miscellaneous 96 tears too many teardrops for one heart to be cryin too many teardrops for one heart to carry on youre way on top now since you left me youre always laughin way down at me but watch out now im gonna get there well be together for just a little while and then im gonna put you way down here and youll start cryin ninetysix tears cry cry and when the sun comes up ill be on top youll be way down there lookin up and i might wave come up here but i dont see you wavin now im way down here wonderin how im gonna get you but i know now ill just cry cry ill just cry too many teardrops for one heart to be cryin too many teardrops for one heart to carry on youre gonna cry  ninetysix tears youre gonna cry  ninetysix tears youre gonna cry  cry cry cry now youre gonna cry  cry cry cry ninetysix tears  cmon and lemme hear you cry now ninetysix tears whoo   i wanna hear you cry night and day yeah all night long uhninetysix tears    cry cry cry cmon baby let me hear you cry now all night long uhninetysix tears  yeah  cmon now uhninetysix tears fade
6,last train to clarksville,the monkees,1966,95,1,60,take the last train to clarksville and ill meet you at the station you can be be here by four thirty cause ive made your reservation dont be slow oh no no no oh no no no cause im leavin in the morning and i must see you again well have one more night together til the morning brings my train and i must go oh no no no oh no no no and i dont know if im ever coming home take the last train to clarksville ill be waiting at the station well have time for coffee flavored kisses and a bit of conversation oh no no no oh no no no take the last train to clarksville now i must hang up the phone i cant hear you in this noisy railroad station all alone im feelin low oh no no no oh no no no and i dont know if im ever coming home take the last train to clarksville and ill meet you at the station you can be be here by four thirty cause i made your reservation dont be slow oh no no no oh no no no and i dont know if im ever coming home take the last train to clarksville take the last train to clarksville take the last train to clarksville take the last train to clarksville
7,monday monday,the mamas  the papas,1966,94,1,60,monday monday so good to me monday morning it was all i hoped it would be oh monday morning monday morning couldnt guarantee that monday evening you would still be here with me monday monday cant trust that day monday monday sometimes it just turns out that way oh monday morning you gave me no warning of what was to be oh monday monday how could you leave and not take me every other day every other day every other day of the week is fine yeah but whenever monday comes but whenever monday comes you can find me crying all of the time monday monday so good to me monday morning it was all i hoped it would be but monday morning monday morning couldnt guarantee that monday evening you would still be here with me every other day every other day every other day of the week is fine yeah but whenever monday comes but whenever monday comes you can find me crying all of the time monday monday cant trust that day monday monday it just turns out that way oh monday monday wont go away monday monday its here to stay oh monday monday oh monday monday oh
8,you cant hurry love,the supremes,1966,93,2,60, i need love love to ease my mind i need to find find someone to call mine but mama saidyou cant hurry love no you just have to wait she said love dont come easy its a game of give and takeyou cant hurry love no you just have to wait you got to trust give it time no matter how long it takesbut how many heartaches must i stand before i find a love to let me live again right now the only thing that keeps me hangin on when i feel my strength yeah is almost gone i remember mama saidyou cant hurry love no you just have to wait she said love dont come easy its a game of give and takehow long must i wait how much more can i take before loneliness will cause my heart heart to breakno i cant bear to live my life alone i grow impatient for a love to call my own but when i feel that i i cant go on these precious words keeps me hangin on i remember mama saidyou cant hurry love no you just have to wait she said love dont come easy its a game of give and takeyou cant hurry love no you just have to wait she said trust give it time no matter how long it takesno love love dont come easy but i keep on waiting anticipating for that soft voice to talk to me at night for some tender arms to hold me tighti keep waiting i keep on waiting but it aint easy it aint easy but mama saidyou cant hurry love no you just have to wait she said to trust give it time no matter how long it takesyou cant hurry love no you just have to wait she said love dont come easy its a game of give and take 
9,poor side of town,johnny rivers,1966,92,1,60, how can you tell me how much you miss me when the last time i saw you you wouldnt even kiss me that rich guy youve been seein must have put you down so welcome back baby to the poor side of townto him you were nothin but a little plaything not much more than an overnight fling to me you were the greatest thing this boy had ever found and girl its hard to find nice things on the poor side of towni cant blame you for tryin im tryin to make it too ive got one little hang up baby i just cant make it without youso tell me are you gonna stay now will you stand by me girl all the way now oh with you by my side they just cant keep us down together we can make it girl from the poor side of townso tell me how much you love me come be near to me and say you need me nowoh with you by my side this world cant keep us down together we can make it baby from the poor side of town 
10,california dreamin,the mamas  the papas,1966,91,1,60,all the leaves are brown and the sky is grey ive been for a walk on a winters day id be safe and warm if i was in la california dreamin on such a winters day stepped into a church i passed along the way well i get down on my knees and i pretend to pray you know the preacher likes the cold he knows im gonna stay california california dreamin on such a winters day all the leaves are brown and the sky is grey ive been for a walk on a winters day if i didnt tell her i could leave today california california dreamin on such a winters day california dreamin california dreamin california dreamin
11,summer in the city,lovin spoonful,1966,90,2,60, hot town summer in the city back of my neck getting dirty and gritty been down isnt it a pity doesnt seem to be a shadow in the cityall around people looking half dead walking on the sidewalk hotter than a match headbut at night its a different world go out and find a girl comeon comeon and dance all night despite the heat itll be alrightand babe dont you know its a pity that the days cant be like the nights in the summer in the city in the summer in the citycool town evening in the city dressing so fine and looking so pretty cool cat looking for a kitty gonna look in every corner of the city till im wheezing like a bus stop running up the stairs gonna meet you on the rooftopbut at night its a different world go out and find a girl comeon comeon and dance all night despite the heat itll be alrightand babe dont you know its a pity that the days cant be like the nights in the summer in the city in the summer in the cityhot town summer in the city back of my neck getting dirty and gritty been down isnt it a pity doesnt seem to be a shadow in the cityall around people looking half dead walking on the sidewalk hotter than a match headbut at night its a different world go out and find a girl comeon comeon and dance all night despite the heat itll be alrightand babe dont you know its a pity that the days cant be like the nights in the summer in the city in the summer in the city 
12,born free,roger williams,1966,89,3,60,born free as free as the wind blows as free as the grass grows born free to follow your heart live free and beauty surrounds you the world still astounds you each time you look at a star stay free where no walls divide you youre free as the roaring tide so theres no need to hide born free and life is worth living but only worth living cause youre born free born free born free born free
13,these boots are made for walkin,nancy sinatra,1966,88,0,60, you keep saying you got something for me something you call love but confess youve been amessin where you shouldnt ve been amessin and now someone else is getting all your bestthese boots are made for walking and thats just what theyll do one of these days these boots are gonna walk all over youyou keep lyin when you oughta be truthin you keep losing when you oughta not bet you keep samin when you oughta be achangin now whats right is right but you aint been right yetthese boots are made for walking and thats just what theyll do one of these days these boots are gonna walk all over youyou keep playing where you shouldnt be playing and you keep thinking that youll never get burnt hah i just found me a brand new box of matches yeah and what he knows you aint had time to learn these boots are made for walking and thats just what theyll do one of these days these boots are gonna walk all over youare you ready boots start walkin 
14,what becomes of the brokenhearted,jimmy ruffin,1966,87,1,60, as i walk this land with broken dreams i have visions of many things loves happiness is just an illusion filled with sadness and confusion what becomes of the broken hearted who had love thats now departed i know ive got to find some kind of peace of mind maybe the fruits of love grow all around but for me they come a tumblin down every day heartaches grow a little stronger i cant stand this pain much longer i walk in shadows searching for light cold and alone no comfort in sight hoping and praying for someone to care always moving and goin to where what becomes of the broken hearted who had love thats now departed i know ive got to find some kind of peace of mind maybe im searching though i dont succeed but someone look theres a growing need oh he is lost theres no place for beginning all thats left is an unhappy ending now whats become of the brokenhearted who had love thats now departed i know ive got to find some kind of peace of mind ill be searching everywhere just to find someone to care ill be looking everyday i know im gonna find a way nothings gonna stop me now ill find a way somehow ill be searching everywhere 
15,strangers in the night,frank sinatra,1966,86,3,60, strangers in the night exchanging glances wondering in the night what were the chances wed be sharing love before the night was through something in your eyes was so inviting something in your smile was so exciting something in my heart told me i must have youstrangers in the night two lonely people we were strangers in the night up to the moment when we said our first hello little did we know love was just a glance away a warm embracing dance away and ever since that night weve been together lovers at first sight in love forever it turned out so right for strangers in the nightlove was just a glance away a warm embracing dance away ever since that night weve been together lovers at first sight in love forever it turned out so right for strangers in the nightdoobeedoobeedoo doodoodeedah dahdahdahdahdah 
16,we can work it out,the beatles,1966,85,1,60,try to see it my way do i have to keep on talking till i cant go on while you see it your way run the risk of knowing that our love may soon be gone we can work it out we can work it out think of what youre saying you can get it wrong and still you think that its all right think of what im saying we can work it out and get it straight or say good night we can work it out we can work it out life is very short and theres no time for fussing and fighting my friend i have always thought that its a crime so i will ask you once again try to see it my way only time will tell if i am right or i am wrong while you see it your way theres a chance that we might fall apart before too long we can work it out we can work it out life is very short and theres no time for fussing and fighting my friend i have always thought that its a crime so i will ask you once again try to see it my way only time will tell if i am right or i am wrong while you see it your way theres a chance that we might fall apart before too long we can work it out we can work it out
17,good lovin,the young rascals,1966,84,1,60,good lovin good lovin good lovin good lovin i was feelin so bad i asked my family doctor just what i had i said doctor mr md now can you tell me whats ailin me?¢ he said yeah yeah yeah yeah yeah yes indeed all i i really need good lovin now gimme that good good lovin good lovin all i need is lovin good lovin good good lovin baby good lovin honey please squeeze me tight dont you want your baby to be all right i said baby now its for sure i got the fever yeah and you got the cure unverified yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yes indeed all i really need good lovin cmon gimme that lovin good lovin all i need is lovin good lovin good good lovin baby good lovin good lovin good lovin good lovin all i need is lovin good lovin all i want is lovin good lovin lovin early in the morning good lovin lovin you late at night good lovin love love good lovin love love love love lovin
18,winchester cathedral,new vaudeville band,1966,83,1,60,winchester cathedral youre bringin me down you stood and you watched as my baby left town you couldve done something but you didnt try you didnt do nothing you let her walk by now everyone knows just how much i needed that gal she wouldnt have gone far away if only youd started ringing your bell winchester cathedral youre bringin me down you stood there and watched as my baby left town avodeeohdoe avodeeohdoe avodeeohdoedeeohdoe
19,hanky panky,tommy james and the shondells,1966,82,2,60,my baby does the hanky panky my baby does the hanky panky my baby does the hanky panky my baby does the hanky panky my baby does the hanky panky i saw her walking on down the line you know i saw her for the very first time a pretty little girl standing all alone hey baby can i take you home i never saw her never really saw her my baby does the hanky panky my baby does the hanky panky my baby does the hanky panky my baby does the hanky panky my baby does the hanky panky
20,when a man loves a woman,percy sledge,1966,81,1,60, when a man loves a woman cant keep his mind on nothing else hell trade the world for the good thing hes found if shes bad he cant see it she can do no wrong turn his back on his best friend if he put her downwhen a man loves a woman spend his very last dime trying to hold on to what he needs hed give up all his comfort sleep out in the rain if she said thats the way it ought to bewell this man loves a woman i gave you everything i had trying to hold on to your precious love baby please dont treat me badwhen a man loves a woman down deep in his soul she can bring him such misery if she plays him for a fool hes the last one to know loving eyes cant ever seewhen a man loves a woman he can do no wrong he can never own some other girl yes when a man loves a woman i know exactly how he feels cause baby baby baby youre my worldwhen a man loves a woman 
21,paint it black,the rolling stones,1966,80,2,60,i see a red door and i want it painted black no colors anymore i want them to turn black i see the girls walk by dressed in their summer clothes i have to turn my head until my darkness goes i see a line of cars and theyre all painted black with flowers and my love both never to come back i see people turn their heads and quickly look away like a new born baby it just happens evry day i look inside myself and see my heart is black i see my red door and it has been painted black maybe then ill fade away and not have to face the facts its not easy facin up when your whole world is black no more will my green sea go turn a deeper blue i could not foresee this thing happening to you if i look hard enough into the settin sun my love will laugh with me before the mornin comes i see a red door and i want it painted black no colors anymore i want them to turn black i see the girls walk by dressed in their summer clothes i have to turn my head until my darkness goes hmm hmm hmm i wanna see it painted painted black black as night black as coal i wanna see the sun blotted out from the sky i wanna see it painted painted painted painted black yeah
22,my love,petula clark,1966,79,2,60, my love is warmer than the warmest sunshine softer than a sigh my love is deeper than the deepest ocean wider than the sky my love is brighter than the brightest star that shines every night above and there is nothing in this world that can ever change my lovesomething happened to my heart the day that i met you something that i never felt before you are always on my mind no matter what i do and everyday it seems i want you moremy love is warmer than the warmest sunshine softer than a sigh my love is deeper than the deepest ocean wider than the sky my love is brighter than the brightest star that shines every night above and there is nothing in this world that can ever change my loveonce i thought that love was meant for anyone else but me once i thought youd never come my way now it only goes to show how wrong we all can be for now i have to tell you everydaymy love is warmer than the warmest sunshine softer than a sigh my love is deeper than the deepest ocean wider than the sky my love is brighter than the brightest star that shines every night above and there is nothing in this world that can ever change my lovemy love is warmer than the warmest sunshine softer than a sigh my love is deeper than the deepest ocean wider than the sky my love is brighter than the brightest star that shines every night above and there is nothing in this world that can ever change my love 
23,lightnin strikes,lou christie,1966,78,1,60, listen to me baby you gotta understand youre old enough to know the makings of a man listen to me baby its hard to settle down am i asking too much for you to stick aroundevery boy wants a girl he can trust to the very end baby thats you wont you wait but til thenwhen i see lips beggin to be kissed stop i cant stop stop i cant stop myself stop stoplightnings striking again lightnings striking againnatures takin over my onetrack mind believe it or not youre in my heart all the time all the girls are sayin that youll end up a fool for the time being baby live by my ruleswhen i settle down i want one baby on my mind forgive and forget and ill make up for all lost timeif shes put together fine and shes readin my mind stop i cant stop stop i cant stop myself stop stoplightnings striking again lightnings striking again and again and again and againlightnings striking again lightnings striking againtheres a chapel in the pines waiting for us around the bend picture in your mind love forever but til thenif she gives me a sign that she wants to make time stop i cant stop stop i cant stop myself stop stoplightnings striking again lightnings striking again and again and again and again lightnings striking again and again and again and again 
24,wild thing,the troggs,1966,77,3,60, wild thing you make my heart sing you make everything groovy wild thing wild thing i think i love you but i wanna know for sure come on and hold me tight i love youwild thing you make my heart sing you make everything groovy wild thing wild thing i think you move me but i wanna know for sure come on and hold me tight you move mewild thing you make my heart sing you make everything groovy wild thing wild thing you make my heart sing 
25,kicks,paul revere  the raiders,1966,76,3,60,girl you thought you found the answer on that magic carpet ride last night but when you wake up in the mornin the world still gets you uptight well theres nothin that you aint tried to fill the emptiness inside but when you come back down girl still aint feelin right and dont it seem like kicks just keep gettin harder to find and all your kicks aint bringin you peace of mind before you find out its too late girl you better get straight no but not with kicks you just need help girl well you think youre gonna find yourself a little piece of paradise but it aint happened yet so girl you better think twice dont you see no matter what you do youll never run away from you and if you keep on runnin youll have to pay the price and dont it seem like kicks just keep gettin harder to find and all your kicks aint bringin you peace of mind before you find out its too late girl you better get straight no you dont need kicks to help you face the world each day that road goes nowhere im gonna help you find yourself another way kicks just keep gettin harder to find and all your kicks aint bringin you peace of mind before you find out its too late girl you better get straight dont it seem like kicks just keep gettin harder to find and all your kicks aint bringin you peace of mind before you find out its too late girl you better get straight
26,sunshine superman,donovan,1966,75,2,60, sunshine came softly through my awindow today couldve tripped out easy abut ive achanged my ways itll take time i know it but in a while youre gonna be mine i know it well do it in style cause i made my mind up youre going to be mineill tell you right now any trick in the book now baby all that i can find everybodys hustlin just to have a little scene when i say well be cool i think that you know what i mean we stood on a beach at sunset do you remember when i know a beach where baby ait never ends when youve made your mind up forever to be minehmm hmm hmm hmm hmm ill pick up your hand and slowly blow your little mind cause i made my mind up youre going to be mine ill tell you right now any trick in the book now baby all that i can findsuperman or green lantern aint got anothin on me i can make like a turtle and dive for your pearls in the sea yeah a youyouyou can just sit there athinking on your velvet throne bout all the rainbows ayou can ahave for your own when youve made your mind up forever to be mine ill pick up your hand and slowly blow your little mind when youve made your mind up forever to be mine 
27,sunny,bobby hebb,1966,74,3,60, sunny yesterday my life was filled with rain sunny you smiled at me and really eased the pain now the dark days are gone and the bright days are here my sunny one shines so sincere sunny one so true i love yousunny thank you for the sunshine bouquet sunny thank you for the love you brought my way you gave to me your all and all and now i feel ten feet tall sunny one so true i love yousunny thank you for the truth you let me see sunny thank you for the facts from a to z my life was torn like windblown sand and a rock was formed when you held my hand oh sunny sunny one so true i love yousunny thank you for the smile upon your face hmm sunny thank you thank you for the gleam that shows its grace youre my spark of natures fire youre my sweet complete desire sunny one so true yes i love you 
28,paperback writer,the beatles,1966,73,1,60,paper back writer   paperback writer paperback writer dear sir or madam will you read my book it took me years to write will you take a look its based on a novel by a man named lear and i need a job so i want to be a paperback writer paperback writer its the dirty story of a dirty man and his cleaning wife just doesnt understand his son is working for the daily mail its a steady job but he wants to be a paperback writer paperback writer paper back writer   paperback writer paperback writer its a thousand pages give or take a few ill be writing more in a week or two i can make it longer if you like the style i can change it round then i want to be a paperback writer paperback writer if you really like it you can have the rights it could make a million for you overnight if you must return it you can send it here but i need a break and i want to be a paperback writer paperback writer paper back writer   paperback writer paperback writer paper back writer   paperback writer paper back writer   paperback writer paper back writer   paperback writer paper back writer   paperback writer
29,see you in september,the happenings,1966,72,1,60,ill be alone each and every night while youre away dont forget to write byebye so long farewell byebye so long see you in september see you when the summers through here we are bye baby goodbye saying goodbye at the station bye baby goodbye summer vacation bye baby bye baby is taking you away bye baby goodbye have a good time but remember there is danger in the summer moon above will i see you in september or lose you to a summer love counting the days til ill be with you counting the hours and the minutes too bye baby goodbye bye baby goodbye bye baby goodbye byebye so long farewell bye baby goodbye byebye so long have a good time but remember there is danger in the summer moon above will i see you in september or lose you to a summer love ill be alone each and every night while youre away dont forget to write see you byebye so long farewell in september byebye so long farewell im hopin ill see you byebye so long farewell in september byebye so long farewell well maybe ill see you byebye so long farewell in september byebye so long farewell
30,you keep me hangin on,the supremes,1966,71,1,60, set me free why dont cha babe get out my life why dont cha babe cause you dont really love me you just keep me hangin on you dont really need me but you keep me hangin onwhy do you keep a comin around playing with my heart why dont cha get out of my life and let me make a new start let me get over you the way you gotten over me yeahset me free why dont cha babe let me be why dont you babe cause you dont really love me you just keep me hangin on no you dont really want me you just keep me hangin onyou say although we broke up you still wanna be just friends but how can we still be friends when seeing you only breaks my heart again and there aint nothing i can do about itwhoa ooh whoa ooh whoa set me free why dont you babe get out get out of my life why dont you babe set me free why dont you babe get out of my life why dont you babeyou claim you still care for me but your heart and soul needs to be free and now that youve got your freedom you wanna still hold on to me you dont want me for yourself so let me find somebody elsewhy dont cha be a man about it and set me free now you dont care a thing about me youre just using mego home get out get out of my life and let me sleep at night cause you dont really love me you just keep me hangin onyou dont really need me 
31,lil red riding hood,sam the sham and the pharaohs,1966,70,2,60,sam the sham miscellaneous lil red riding hood lil red riding hood sam the sham owoooooooo whos that i see walkin in these woods why its little red riding hood hey there little red riding hood you sure are looking good youre everything a big bad wolf could want listen to me little red riding hood i dont think little big girls should go walking in these spooky old woods alone owoooooooo what big eyes you have the kind of eyes that drive wolves mad so just to see that you dont get chased i think i ought to walk with you for a ways what full lips you have theyre sure to lure someone bad so until you get to grandmas place i think you ought to walk with me and be safe im gonna keep my sheep suit on until im sure that youve been shown that i can be trusted walking with you alone owoooooooo little red riding hood id like to hold you if i could but you might think im a big bad wolf so i wont owoooooooo what a big heart i havethe better to love you with little red riding hood even bad wolves can be good ill try to be satisfied just to walk close by your side maybe youll see things my way before we get to grandmas place hey there little red riding hood you sure are looking good youre everything that a big bad wolf could want owoooooooo i mean baaaaaa baaa
33,good vibrations,the beach boys,1966,68,3,60,ii love the colorful clothes she wears and the way the sunlight plays upon her hair i hear the sound of a gentle word on the wind that lifts her perfume through the air im pickin up good vibrations shes giving me excitations oom bop bop im pickin up good vibrations good vibrations oom bop bop shes giving me excitations excitations oom bop bop good good good good vibrations oom bop bop shes giving me excitations excitations oom bop bop good good good good vibrations oom bop bop shes giving me excitations excitations close my eyes shes somehow closer now softly smile i know she must be kind when i look in her eyes she goes with me to a blossom world im pickin up good vibrations shes giving me excitations oom bop bop im pickin up good vibrations good vibrations oom bop bop shes giving me excitations excitations oom bop bop good good good good vibrations oom bop bop shes giving me excitations excitations oom bop bop good good good good vibrations oom bop bop shes giving me excitations excitations ahh ah my my what elation i dont know where but she sends me there oh my my what a sensation oh my my what elation oh my my what gotta keep those lovin good vibrations ahappenin with her gotta keep those lovin good vibrations ahappenin with her gotta keep those lovin good vibrations ahappenin ahh good good good good vibrations oom bop bop im pickin up good vibrations oom bop bop shes giving me excitations excitations oom bop bop good good good good vibrations na na na na na na na na na na na na na na na na bop bopbopbopbop bop do do do do do do do do bop bopbopbopbop bop do do do do do do do do bop bopbopbopbop bop
34,a groovy kind of love,the mindbenders,1966,67,1,60,when im feeling blue all i have to do  is take a look at you then im not so blue  when youre close to me i can feel your heart beat  i can hear you breathing near my ear  wouldnt you agree baby you and me got a groovy kind of love  anytime you want to you can turn me onto  anything you want to anytime at all  when i kiss your lips ooh i start to shiver  cant control the quivering inside  wouldnt you agree baby you and me got a groovy kind of love oh  when im feeling blue all i have to do  is take a look at you then im not so blue  when im in your arms nothing seems to matter  my whole world could shatter i dont care  wouldnt you agree baby you and me got a groovy kind of love  we got a groovy kind of love  we got a groovy kind of love oh  we got a groovy kind of love
35,you dont have to say you love me,dusty springfield,1966,66,1,60, when i said i needed you you said you would always stay it wasnt me who changed but you and now youve gone away dont you see that now youve gone and im left here on my own that i have to follow you and beg you to come homeyou dont have to say you love me just be close at hand you dont have to stay forever i will understand believe me believe me i cant help but love you but believe me ill never tie you down left alone with just a memory life seems dead and quite unreal all thats left is loneliness theres nothing left to feelyou dont have to say you love me just be close at hand you dont have to stay forever i will understand believe me believe me you dont have to say you love me just be close at hand you dont have to stay forever i will understand believe me believe me 
36,cool jerk,the capitols,1966,65,3,60, cool jerk cool jerk cool jerk cool jerk we know a cat who can really do the cool jerk we know a cat who can really do the cool jerk this cat theyre talking about i wonder who could it be cause i know im the heaviest cat the heaviest cat you ever did see when you see me walking down the street and they clapping and they speak all the business they wish to whisper it but they know im the king of the cool jerks cool jerk cool jerk cool jerk cool jerk ah ha haspokenlook at them guys looking at me like im a fool ah but deep down inside they know im cool i said now i said now the moment of truth has finally come when im gonna show you some some of that cool jerk now give me a little bit of the drums by himself here now give me a little bit of bass with those eightyeights ah youre cookin mmmmmm youre smokin now everybody i wanna hear you ahhhhhh can you do it can you do it can you do it can you do it can you do it can you do it cool jerk come on people cool jerk when you see me walkin down the street then you think twice and then the next beat on the chance that they dont make it work cause they know im the king of the cool jerk cool jerk cool jerk come on people can you do it can you do it can you do it can you do it can you do it can you do it can you do it can you do it can you do it can you do it can you do itfade 
37,born a woman,sandy posey,1966,64,1,60, it makes no difference if youre rich or poor or if youre smart or dumb a womans place in this old world is under some mans thumband if youre born a woman youre born to be hurt youre born to be stepped on lied to cheated on and treated like dirtah if youre born a woman youre born to be hurt a womans lot is to give and give and go on giving a womans got to love and lose and go on livingwell i was born a woman i didnt have no say and when my man finally comes home he makes me glad it happened that way because to be his woman no price is too great to pay 
38,red rubber ball,the cyrkle,1966,63,2,60,i should have known youd bid me farewell theres a lesson to be learned from this and i learned it very well now i know youre not the only starfish in the sea if i never hear your name again its all the same to me and i think its gonna be all right yeah the worst is over now the mornin sun is shinin like a red rubber ball you never care for secrets i confide for you im just an ornament somethin for your pride always runnin never carin thats the life you live stolen minutes of your time were all ya had to give and i think its gonna be all right yeah the worst is over now the mornin sun is shinin like a red rubber ball the storys in the past with nothin to recall ive got my life to live and i dont need you at all the rollercoaster ride we took is nearly at an end i bought my ticket with my tears thats all im gonna spend and i think its gonna be all right yeah the worst is over now the mornin sun is shinin like a red rubber ball oh oh oh i think its gonna be all right yeah the worst is over now the mornin sun is shinin like a red rubber ball
39,baby,carla thomas,1966,62,2,60, baby ooh baby i love to call you baby baby oh oh baby i love for you to call me babywhen you squeeze me real tight you make wrong things right and i cant stop loving you and i wont stop calling youbaby oh baby you look so good to me baby baby ooh baby you are so good to me baby just one look in your eye and my temperature goes skyhigh i live for you and cant help it you know i really dont want to help itbaby baby baby babywhenever the sun dont shine you go out to light my hind then i get real close to you and your sweet kisses see me throughi said baby ooh baby you look so good to me baby baby ooh baby how i love for you to call me baby when you squeeze me real tight you know you make wrong things right and i cant stop loving you and i wont stop calling youbaby baby 
