RANK,SONG,ARTIST,YEAR,WEIGHT,SENT,DECADE,LYRICS
99,get on the good foot,james brown,1972,2,2,70, cant pass the people cant pass the hit meooh get on down like uh i wanna get on the good foot ho good foot i got to get on the good foot ahgoing down to the crib let all hang out where soulful people knows what its about ah going down to the crib and let it all hang out ahwhere soulful people knows what its about ah where people do the sign and take your hands ah and dancin to the music james brown bandtheyre dancing on the good foot i got to get on the good foot got to do it on the good foot do it with the good footsaid the long hair hippies and the afro blacks they all get together across the tracks and they partyho on the good foot you know they dance on the good foot dance on the good footaint nothing goin on now but the rent ah a whole lotta bills and my moneys spent and thats on my bad foot whoa uhyou know my face gettin short and i got the blues i got a funky job and i paid my dues on the good footho on the good foot i got to get on the good foot hey on the good foot get on the good foot come overhit it there you got to get it get it sharper now uh come on get it ah huhon the good foot on the good foot ho on the good foot get on the good footon the good foot on the good foot ho get on the good foot on the good footget it there get it there ho now bass play on it nowcome on get it ah get it get on the good foot ooh i got to get on the good foot ooh get on the good foot hotake care of business sister im your fella 
100,pop that thang,the isley brothers,1972,1,1,70, pop that thang bang bang bang pop that thang bang bang bangting a ling a ling i hook it on up get on down now do your stuff come onpop that thang bang bang bang pop that thang bang bang bangif you cant do it right dont you try it again look at that rooster runnin after that hen come onpop that thang bang bang bang pop that thang bang bang bangsister rosaline ting a ling a ling look at that child popping that thanghitch up to my wagon and get ready to roll but dont get on board if you cant carry the loadif balloon goes down i fill it up with wind if the record stops start it over againpop that thang bang bang bang pop that thang bang bang bangting a ling a ling hook it on up get on down and do your own stuffpop that thang bang bang bang pop that thang bang bang bangif you cant do it right dont you try it again look at that rooster running after that hencome on and pop it pop it pop it pop it come on and pop it pop it pop it pop it come on and pop it 
1,tie a yellow ribbon round the ole oak tree,tony orlando and dawn,1973,100,2,70,im comin home ive done my time now ive got to know what is and isnt mine if you received my letter telling you id soon be free then youll know just what to do if you still want me if you still want me whoa tie a yellow ribbon round the ole oak tree its been three long years do you still want me if i dont see a ribbon round the ole oak tree ill stay on the bus forget about us put the blame on me if i dont see a yellow ribbon round the ole oak tree bus driver please look for me cause i couldnt bear to see what i might see im really still in prison and my love she holds the key a simple yellow ribbons what i need to set me free and i wrote and told her please whoa tie a yellow ribbon round the ole oak tree its been three long years do you still want me if i dont see a ribbon round the ole oak tree ill stay on the bus forget about us put the blame on me if i dont see a yellow ribbon round the ole oak tree now the whole damned bus is cheerin and i cant believe i see a hundred yellow ribbons round the ole oak tree im comin home tie a ribbon round the ole oak tree tie a ribbon round the ole oak tree tie a ribbon round the ole oak tree tie a ribbon round the ole oak tree tie a ribbon round the ole oak tree tie a ribbon round the ole oak tree tie a ribbon round the ole oak tree tie a ribbon round the ole oak tree
2,bad bad leroy brown,jim croce,1973,99,3,70, well the south side of chicago is the baddest part of town and if you go down there you better just beware of a man named leroy brownnow leroy more than trouble you see he stand bout six foot four all the downtown ladies call him treetop lover all the men just call him sirand its bad bad leroy brown the baddest man in the whole damned town badder than old king kong and meaner than a junkyard dognow leroy he a gambler and he like his fancy clothes and he like to wave his diamond rings in front of everybodys nosehe got a custom continental he got an eldorado too he got a 32 gun in his pocket for fun he got a razor in his shoeand its bad bad leroy brown the baddest man in the whole damned town badder than old king kong and meaner than a junkyard dogwell friday bout a week ago leroy shootin dice and at the edge of the bar sat a girl named doris and ooh that girl looked nicewell he cast his eyes upon her and the trouble soon began cause leroy brown learned a lesson bout messin with the wife of a jealous manand its bad bad leroy brown the baddest man in the whole damned town badder than old king kong and meaner than a junkyard dogwell the two men took to fighting and when they pulled them from the floor leroy looked like a jigsaw puzzle with a couple of pieces goneand its bad bad leroy brown the baddest man in the whole damned town badder than old king kong and meaner than a junkyard dogand its bad bad leroy brown the baddest man in the whole damned town badder than old king kong and meaner than a junkyard dog yeah badder than old king kong and meaner than a junkyard dog 
3,killing me softly with his song,roberta flack,1973,98,2,70, strumming my pain with his fingers singing my life with his words killing me softly with his song killing me softly with his song telling my whole life with his words killing me softly with his songi heard he sang a good song i heard he had a style and so i came to see him to listen for a while and there he was this young boy a stranger to my eyesstrumming my pain with his fingers singing my life with his words killing me softly with his song killing me softly with his song telling my whole life with his words killing me softly with his songi felt all flushed with fever embarrassed by the crowd i felt he found my letters and read each one out loud i prayed that he would finish but he just kept right on strumming my pain with his fingerssinging my life with his words killing me softly with his song killing me softly with his song telling my whole life with his words killing me softly with his songhe sang as if he knew me in all my dark despair and then he looked right through me as if i wasnt there but he just came to singing singing clear and strongstrumming my pain with his fingers singing my life with his words killing me softly with his song killing me softly with his song telling my whole life with his words killing me softly with his song 
4,lets get it on,marvin gaye,1973,97,2,70, ive been really tryin baby tryin to hold back this feeling for so long and if you feel like i feel baby then cmon oh cmonlets get it on ah baby lets get it on lets love baby lets get it on sugar lets get it onwere all sensitive people with so much to give understand me sugar since weve got to be here lets live i love youtheres nothing wrong with me loving you baby no no and giving yourself to me can never be wrong if the love is truedont you know how sweet and wonderful life can be im asking you baby to get it on with me i aint gonna worry i aint gonna push wont push you baby so cmon cmon cmon cmon cmon baby stop beatin round the bushlets get it on lets get it on you know what im talkin bout cmon baby let your love come out if you believe in love lets get it on lets get it on baby this minute oh yeah lets get it on please lets get it oncmon cmon cmon cmon cmon darlin stop beatin round the bush oh gonna get it on threaten you baby i wanna get it on you dont have to worry that its wrong if the spirit moves ya let me groove ya good let your love come down oh get it oncmon baby do you know the meaning ive been sanctified girl you give me good feeling ive been sanctified 
5,my love,paul mccartney  wings,1973,96,3,70,and when i go away i know my heart can stay with my love its understood its in the hands of my love and my love does it good wo wo wo wo wo wo my love does it good and when the cupboards bare ill still find something there with my love its understood its everywhere with my love and my love does it good wo wo wo wo wo wo wo wo my love does it good i love oh wo my love only my love holds the other key to me oh my love oh my love only my love does it good to me wo wo wo wo wo wo wo wo my love does it good dont ever ask me why i never say goodbye to my love its understood its everywhere with my love and my love does it good wo wo wo wo wo wo wo wo my love does it good oh my love oh my love only my love does it good to me wo
6,why me,kris kristofferson,1973,95,1,70, why me lord what have i ever done to deserve even one of the pleasures ive known lord what did i ever do that was worth lovin you or the kindness youve shownlord help me jesus ive wasted it so help me jesus i know what i am but now that i know that ive needed you so help me jesus my souls in your handtry me lord if you think theres a way i can try to repay all ive taken from you maybe lord i can show someone else what i go through myself on my way back to youlord help me jesus ive wasted it so help me jesus i know what i am but now that i know that ive needed you so help me jesus my souls in your hand jesus my souls in your hand 
7,crocodile rock,elton john,1973,94,2,70, i remember when rock was young me and suzie had so much fun holding hands and skimming stones had an old gold chevy and a place of my own but the biggest kick i ever got was doing a thing called the crocodile rock while the other kids were rocking round the clock we were hopping and bopping to the crocodile rockwell crocodile rocking is something shocking when your feet just cant keep still i never knew me a better time and i guess i never will oh lawdy mama those friday nights when suzie wore her dresses tight and the crocodile rocking was out of sightla lalalala la lalalala la lalalala labut the years went by and the rock just died suzie went and left us for some foreign guy long nights crying by the record machine dreaming of my chevy and my old blue jeans but theyll never kill the thrills weve got burning up to the crocodile rock learning fast as the weeks went past we really thought the crocodile rock would lastwell crocodile rocking is something shocking when your feet just cant keep still i never knew me a better time and i guess i never will oh lawdy mama those friday nights when suzie wore her dresses tight and the crocodile rocking was out of sightla lalalala la lalalala la lalalala lai remember when rock was young me and suzie had so much fun holding hands and skimming stones had an old gold chevy and a place of my own but the biggest kick i ever got was doing a thing called the crocodile rock while the other kids were rocking round the clock we were hopping and bopping to the crocodile rockwell crocodile rocking is something shocking when your feet just cant keep still i never knew me a better time and i guess i never will oh lawdy mama those friday nights when suzie wore her dresses tight and the crocodile rocking was out of sightla lalalala la lalalala la lalalala la la lalalala la lalalala la lalalala la la lalalala la lalalala la lalalala la 
8,will it go round in circles,billy preston,1973,93,2,70, ive got a song i aint got no melody ima gonna sing it to my friends ive got a song i aint got no melody ima gonna sing it to my friendswill it go round in circles will it fly high like a bird up in the sky will it go round in circles will it fly high like a bird up in the skyive got a story i aint got no moral let the bad guy win every once in a while ive got a story i aint got no moral let the bad guy win every once in a whilewill it go round in circles will it fly high like a bird up in the sky will it go round in circles will it fly high like a bird up in the skyive got a dance i aint got no steps no im gonna let the music move me around ive got a dance i aint got no steps ima gonna let the music move me aroundwill it go round in circles will it fly high like a bird up in the sky will it go round in circles will it fly high like a bird up in the skywell well now oh will it go round in circles will it fly high like a bird up in the sky will it go round in circles will it fly high like a bird up in the skyive got a song i aint got no melody ima gonna sing it to my friends ive got a song i aint got no melody ima gonna sing it to my friendswill it go round in circles will it fly high like a bird up in the sky will it go round in circles will it fly high like a bird up in the skywill it go round in circles will it fly high like a bird up in the sky will it go round in circles will it fly high like a bird up in the sky 
9,youre so vain,carly simon,1973,92,2,70, carly simonyou walked into the party like you were walking onto a yacht your hat strategically dipped below one eye your scarf it was apricot you had one eye in the mirror as you watched yourself gavotte and all the girls dreamed that theyd be your partner theyd be your partner andyoure so vain you probably think this song is about you youre so vain ill bet you think this song is about you dont you dont youyou had me several years ago when i was still quite naive well you said that we made such a pretty pair and that you would never leave but you gave away the things you loved and one of them was me i had some dreams they were clouds in my coffee clouds in my coffee andyoure so vain you probably think this song is about you youre so vain ill bet you think this song is about you dont you dont you dont youi had some dreams they were clouds in my coffee clouds in my coffee and youre so vain you probably think this song is about you youre so vain ill bet you think this song is about you dont you dont youwell i hear you went up to saratoga and your horse naturally won then you flew your lear jet up to nova scotia to see the total eclipse of the sun well youre where you should be all the time and when youre not youre with some underworld spy or the wife of a close friend wife of a close friend andyoure so vain you probably think this song is about you youre so vain ill bet you think this song is about you dont you dont you dont you 
10,touch me in the morning,diana ross,1973,91,2,70, touch me in the morning then just walk away we dont have tomorrow but we had yesterday hey wasnt it me who said that nothing goods gonna last forever and wasnt it me who said lets just be glad for the time togetherit mustve been hard to tell me that youve given all you had to give i can understand youre feeling that way everybodys got their life to livewell i can say goodbye in the cold morning light but i cant watch love die in the warmth of the night if ive got to be strong dont you know i need to have tonight when youre gonetill you go i need to lie here and think about the last time that youll touch me in the morning then just close the door leave me as you found me empty like beforehey wasnt it yesterday we used to laugh at the wind behind us didnt we run away and hope that time wouldnt try to find us didnt we rundidnt we take each other to a place where no ones ever been yeah i really need you near me tonight cause youll never take me there againlet me watch you go with the sun in my eyes weve seen how love can grow now well see how it dies if ive got to be strong dont you know i need to have tonight when youre gonetill you go i need to hold you until the time your hands reach out and touch me in the morning mornings where blue and gold and we could feel one another living then just walk away we walked with a dream to hold and we could take what the world was givingwe dont have tomorrow theres no tomorrow here theres only love and the time to chase it but we had yesterday but yesterdays gone my love theres only now and its time to face it touch me in the morning 
11,the night the lights went out in georgia,vicki lawrence,1973,90,1,70, he was on his way home from candletop been two weeks gone and he thought hed stop at webs and have him a drink for he went home to her andy wolo said hello he said hi whats new and wo said sit down i got some bad news thats gonna hurt said im your best friend and you know thats right but your young bride aint home tonight since you been gone shes been seeing that amos boy seth now he got mad and he saw red andy said boy dont you lose your head cause to tell you the truth ive been with her myselfthats the night that the lights went out in georgia thats the night that they hung an innocent man well dont trust your soul to no back woods southern lawyer cause the judge in the towns got bloodstains on his handsandy got scared and left the bar walking on home cause he didnt live far you see andy didnt have many friends and he just lost him one brother thought his wife mustve left town so he went home and finally found the only thing daddy had left him and that was a gun he went off to andys house slipping through the back woods quiet as a mouse came upon some tracks too small for andy to makehe looked through the screen at the back porch door and he saw andy lying on the floor in a puddle of blood and he started to shakethe georgia patrol was making their rounds so he fired a shot just to flag em down a big bellied sheriff grabbed his gun and said whyd you do itthe judge said guilty on a makebelieve trial slapped the sherriff on the back with a smile said suppers waiting at home and i gotta get to itthats the night the lights went out in georgia thats the night that they hung an innocent man dont trust your soul to no back woods southern lawyer cause the judge in the towns got bloodstains on his handswell they hung my brother before i could say the tracks he saw while on his way to andys house and back that night were mine and his cheatin wife had never left town thats one body thatll never be found you see little sister dont miss when she aims her gunthats the night the lights went out in georgia thats the night that they hung an innocent man dont trust your soul to no back woods southern lawyer cause the judge in the towns got bloodstains on his handthats the night the lights went out in georgia thats the night that they hung an innocent man dont trust your soul to no back woods southern lawyer cause the judge in the towns got bloodstains on his hand 
12,playground in my mind,clint holmes,1973,89,0,70,clint holmes miscellaneous playground in my mind playground in my mind artist clint holmes peak billboard position  2 in 1973 words and music by paul vance and lee pockriss 1when this old world gets me down and theres no love to be found i close my eyes and soon i find im in a playground in my mind where the children laugh and the children play and we sing a song all day 2my name is michael ive got a nickel ive got a nickel shiny and new im gonna buy me all kinds of candy thats what im gonna do 3in the wonders that i find in the playground in my mind in a world that used to be close your eyes and follow me where the children laugh and the children play and well sing a song all day 4my girl is cindy when we get married were gonna have a baby or two were gonna let them visit their grandma thats what were gonna do tag lines concurrent with background singers singing verses two and four living in a world that i left behind happy little children in the playground in my mind see the little children see how they play in the playground in my mind la la lafade transcribed by ronald e hontz ronhontzworldnetattnet
13,brother louie,stories,1973,88,1,70, brother louie  storiesshe was black as the night louie was whiter than white danger danger when you taste brown sugar louie fell in love overnightnothing bad it was good louie had the best girl he could when he took her home to meet his mama and papa louie knew just where he stoodlouie louie louie louie louie louie loui louie louie louie louie louie youre gonna cryinstrumental interludethere he stood in the night knowing whats wrong from whats right he took her home to meet his mama and papa man he had a terrible frightlouie nearly caused a scene wishin it was a dream aint no diffrence if youre black or white brothers you know what i meanlouie louie louie louie louie louie loui louie louie louie louie louie youre gonna cryinstrumental interludelouie louie louie louie louie louie loui louie louie louie louie louie youre gonna crylouie louie louie louie louie louie louie louie loui louie louie louie louie louie youre gonna cry 
14,delta dawn,helen reddy,1973,87,1,70, chorus delta dawn whats that flower you have on could it be a faded rose from days gone by and did i hear you say he was ameetin you here today to take you to his mansion in the skyshes 41 andher dady still calls her baby all the folks round brownsville say shes crazy cause she walks downtown with a suitcase in her hand lookin for a mysterious dark haired manin her younger days they called her delta dawn prettiest woman you ever laid eyes on then a man of low degree stood by her side promised her hed take her for his briderepeat chorus to fade out 
15,me and mrs jones,billy paul,1973,86,1,70, me and mrsjones we got a thing goinon we both know that its wrong but its much too strong to let it go nowwe meet every day at the same cafe sixthirty and no one knows shell be there holding hands making all kinds of plans while the juke box plays our favorite songsme and mrsjones we got a thing goinon we both know that its wrong but its much too strong to let it go nowwe gotta be extra careful that do we dont build our hopes up too high because shes got her own obligations and so and so do ime and mrsjones we got a thing goinon we both know that its wrong but its much too strong to let it go nowwell its time for us to be leaving it hurts so much it hurts so much inside now shell go her way snd ill go mine tomorrow well meet the same pklace the same timeme and mrsjones we got a thing goinon we both know that its wrong but its much too strong to let it go now 
17,drift away,dobie gray,1973,84,2,70, day after day im more confused yet i look for the light through the pourin rain you know thats a game that i hate to loose and im feelin the strain aint it a shameoh give me the beat boys and free my soul i wanna get lost in your rock n roll and drift away oh give me the beat boys and free my soul i wanna get lost in your rock n roll and drift awaybeginnin to think that im wastin time i dont understand the things i do the world outside looks so unkind now im countin on you to carry me throughoh give me the beat boys and free my soul i wanna get lost in your rock n roll and drift away yeah give me the beat boys and free my soul i wanna get lost in your rock n roll and drift awayand when my mind is free you know a melody can move me and when im feelin blue the guitars comin through to soothe methanks for the joy that youve given me i want you to know i believe in your song and rhythm and rhyme and harmony you help me along makin me strongoh give me the beat boys and free my soul i wanna get lost in your rock n roll and drift away give me the beat boys and free my soul i wanna get lost in your rock n roll and drift awayohho ahno give me the beat boys and free my soul i wanna get lost in your rock n roll and drift awayhey hey hey yeah give me the beat boys and free my soul i wanna get lost in your rock n roll and drift awayna na now wont ya wont ya take me ohha take me 
18,little willy,sweet,1973,83,2,70,north side east side little willy willy wears the crown hes the king around town dancin glancin willy drives them silly with his star shoe shimmy shuffle down way past one and feelin alright cos with little willy round they can last all night hey down stay down stay down down cos little willy willy wont go home but you cant push willy round willy wont go try tellin everybody but oh no little willy willy wont go home up town down town little willy willy drives them wild with his runaround style inside outside willy sends them silly with his starshine shimmy shuffle smile mama done chase willy down through the hall but laugh willy laugh he dont care at all hey down stay down stay down down cos little willy willy wont go home but you cant push willy round willy wont go try tellin everybody but oh no little willy willy wont go home little willy willy wont willy wont willy wont little willy willy wont willy wont willy wont little willy willy wont willy wont willy wont little willy willy wont willy wont willy wont little willy willy wont go home but you cant push willy round willy wont go try tellin everybody but oh no little willy willy wont go home little willy willy wont go home but you cant push willy round willy wont go try tellin everybody but oh no little willy willy wont go home little willy willy wont go home but you cant push willy round willy wont go try tellin everybody but oh no
19,you are the sunshine of my life,stevie wonder,1973,82,1,70, you are the sunshine of my life thats why ill always be around you are the apple of my eye forever youll stay in my hearti feel like this is the beginning though ive loved you for a million years and if i thought our love was ending id find myself drowning in my own tears whoa oh oh ahyou are the sunshine of my life thats why ill always stay around mmm mmm yeah yeah you are the apple of my eye forever youll stay in my heartyou must have known that i was lonely because you came to my rescue and i know that this must be heaven how could so much love be inside of you whoa oh oh ohyou are the sunshine of my life yeah thats why ill always stay around you are the apple of my eye forever youll stay in my heartyou are the sunshine of my life baby thats why ill always stay around 
20,halfbreed,cher,1973,81,1,70, my father married a pure cherokee my mothers people were ashamed of me the indians said that i was white by law the white man always called me indian squawhalfbreed thats all i ever heardhalfbreed how i learned to hate the wordhalfbreed shes no good they warned both sides were against me since the day i was bornwe never settled went from town to town when youre not welcome you dont hang around the other children always laughed at me give her a feather shes a cherokeehalfbreed thats all i ever heard   we werent accepted and i felt ashamed nineteen i left them tell me whos to blame my life since then has been from man to man but i cant run away from what i amhalfbreed thats all i ever heard    
21,that lady,the isley brothers,1973,80,1,70, whos that lady whos that lady beautiful lady whos that lady lovely lady whos that lady real fine lady whos that lady hear me callin out to you cause its all that i can do your eyes tell me to pursue but you say look yeah but dont touch babyno no no dont touchwhos that lady whos that lady sexy lady whos that lady beautiful lady whos that lady real fine lady whos that lady i would dance upon a string any gift shed wanna bring i would give her anything if she would just do what i saycome round my way baby shine my way 
22,pillow talk,sylvia,1973,79,2,70, aye aye aye aye ayehey baby let me stay i dont care what your friends are about to say ahah what you friends all say is fine but it cant compete with this pillow talk of mineooooh you cant find love on a one way street it takes two to tango takes two to even compete oh yeah so boy just put that stop sign down and lets get together before the day runs us down im pleading to you nowhey baby let me try to be the ones whos gonna light your fire haha what you friends all say is fine but it cant compete with this pillow talk of mineooooh i dont wanna see you be no fool what im teachin you tonight boy youll never learn it in school oh no so friends who tell me wrong from right ill ask to borrow their man some cold and lonely nightooooh hey baby let me be the one who turns you on from a to z haha what you friends all say is fine but it cant compete with this pillow talk of mineooooh  baby ooooh baby aye alalalalalalaah would you baby would you baby lalalalalalalaaye aye aye aye aye aye aye aye uno momento poquito uno momento poquito aye aye aye aye lie steady lie steady lie steady aye aye aye aye oh my god 
23,were an american band,grand funk railroad,1973,78,2,70, out on the road for forty days last night in little rock put me in a haze sweet sweet connie doin her act she had the whole show and thats a natural fact up all night with freddie king i got to tell you pokers his thing booze and ladies keep me right as long as we can make it to the show tonightwere an american band were an american band were comin to your town well help you party it down were an american bandfour young chiquitas in omaha waitin for the band to return from the show feelin good feelin right its saturday night the hotel detective he was outta sight now these fine ladies they had a plan they was out to meet the boys in the band they said come on dudes lets get it on and we proceeded to tear that hotel downwere an american band were an american band were comin to your town well help you party it down were an american bandwere an american band were an american band were comin to your town well help you party it down were an american bandwere an american band were an american band were comin to your town well help you party it down were an american bandwere an american band were an american band were comin to your town well help you party it down were an american bandwere an american band wooo were an american band wooo were an american band wooo 
24,right place wrong time,dr john,1973,77,1,70, i been in the right place but it must have been the wrong time id have said the right thing but i must have used the wrong line i been in the right trip but i must have used the wrong car my head was in a bad place and im wondering what its good for i been in the right place but it must have been the wrong time my head was in a bad place but im having such a good timei been running trying to get hung up in my mind got to give myself a good talkingto this time just need a little brain salad surgery got to cure my insecurityi been in the wrong place but it must have been the right time i been in the right place but it must have been the wrong song i been in the right vein but it seems like the wrong arm i been in the right world but it seems wrong wrong wrong wrong wrongslipping dodging sneaking creeping hiding out down the street see me life shaking with every ho i meet refried confusion is making itself clear wonder which way do i go to get on out of here 
25,wildflower,skylark,1973,76,2,70, shes faced the hardest times you could imagine and many times her eyes fought back the tears and when her youthful world was about to fall in each time her slender shoulders bore the weight of all her fears and a sorrow no one hears still rings in midnight silence in her earslet her cry for shes a lady let her dream for shes a child let the rain fall down upon her shes a free and gentle flower growing wildand if by chance i should hold her let me hold her for a time but if allowed just one possession i would pick her from the garden to be minebe careful how you touch her for shell awaken and sleeps the only freedom that she knows and when you walk into her eyes you wont believe the way shes always paying for a debt she never owes and a silent wind still blows that only she can hear and so she goes 
26,superstition,stevie wonder,1973,75,0,70, very superstitious writings on the wall very superstitious ladders bout to fall thirteen month old baby broke the lookin glass seven years of bad luck the good things in your pastwhen you believe in things that you dont understand then we suffer superstition aint the wayvery superstitious wash your face and hands rid me of the problems do all that you can keep me in a daydream keep me goin strong you dont want to save me sad is my songwhen you believe in things you dont understand then you suffer superstition aint the way yeh yehvery superstitious nothin more to say very superstitious the devils on his way thirteen month old baby broke the lookin glass seven years of bad luck good things in your pastwhen you believe in things that you dont understand then you suffer superstition aint the way no no no 
27,loves me like a rock,paul simon,1973,74,2,70, when i was a little boy and the devil would call my name id say now who do who do you think youre fooling im a consecrated boy singer in a sunday choir my mama loves she loves me she gets down on her knees and hugs me she loves me like a rock she rocks me like the rock of ages and she loves me she loves me loves me loves me loves mewhen i was grown to be a man and the devil would call my name id say now who do who do you think youre fooling im a consummated man i can snatch a little purity my mama loves me she loves me she gets down on her knees and hugs me she loves me like a rock she rocks me like the rock of ages and she loves me she loves me loves me loves me loves meif i was president and the congress call my name id say who do who do you think youre fooling ive got the presidential seal im up on the presidential podium my mama loves me she loves me she gets down on her knees and hugs me and she loves me like a rock she rocks me like the rock of ages and she loves me she loves me loves me loves me loves me she loves me loves me loves me loves me she loves me loves me loves me loves me 
28,the morning after,maureen mcgovern,1973,73,2,70, theres got to be a morning after if we can hold on through the night we have a chance to find the sunshine lets keep on looking for the lightoh cant you see the morning after its waiting right outside the storm why dont we cross the bridge together and find a place thats safe and warmits not too late we should be giving only with love can we climb its not too late not while were living lets put our hands out in timetheres got to be a morning after were moving closer to the shore i know well be there by tomorrow and well escape the darkness we wont be searching anymoretheres got to be a morning after theres got to be a morning after theres got to be a morning after theres got to be a morning after theres got to be a morning after theres got to be a morning aftertheres got to be a morning after theres got to be a morning after theres got to be a morning after theres got to be a morning after 
29,rocky mountain high,john denver,1973,72,2,70, he was born in the summer of his 27th year coming home to a place hed never been before he left yesterday behind him you might say he was born again you might say he found a key for every doorwhen he first came to the mountains his life was far away on the road and hanging by a song but the strings already broken and he doesnt really care it keeps changing fast and it dont last for longbut the colorado rocky mountain high ive seen it rainin fire in the sky the shadow from the starlight is softer than a lullabye rocky mountain high colorado  memory  bymegalodon     i too went to the rockies in my 27th year didnt say very long any where unfortunately but i can see the attraction i have seen fire in the sky a    see all   he climbed cathedral mountains he saw silver clouds below he saw everything as far as you can see and they say that he got crazy once and he tried to touch the sun and he lost a friend but kept his memorynow he walks in quiet solitude the forest and the streams seeking grace in every step he takes his sight has turned inside himself to try and understand the serenity of a clear blue mountain lakeand the colorado rocky mountain high ive seen it raining fire in the sky you can talk to god and listen to the casual reply rocky mountain highnow his life is full of wonder but his heart still knows some fear of a simple thing he cannot comprehend why they try to tear the mountains down to bring in a couple more more people more scars upon the landand the colorado rocky mountain high ive seen it rainin fire in the sky i know hed be a poorer man if he never saw an eagle fly rocky mountain highits colorado rocky mountain high ive seen it rainin fire in the sky friends around the campfire and everybodys high rocky mountain high rocky mountain high rocky mountain high rocky mountain high rocky mountain high rocky mountain high 
30,stuck in the middle with you,stealers wheel,1973,71,3,70, well i dont know why i came here tonight i got the feeling that something aint right im so scared in case i fall off my chair and im wondering how ill get down the stairs clowns to the left of me jokers to the right here i am stuck in the middle with youyes im stuck in the middle with you and im wondering what it is i should do its so hard to keep this smile from my face losing control yeah im all over the place clowns to the left of me jokers to the right here i am stuck in the middle with youwell you started out with nothing and youre proud that youre a self made man and your friends they all come crawlin slap you on the back and say please pleasetrying to make some sense of it all but i can see that it makes no sense at all is it cool to go to sleep on the floor cause i dont think that i can take anymore clowns to the left of me jokers to the right here i am stuck in the middle with youwell you started out with nothing and youre proud that youre a self made man and your friends they all come crawlin slap you on the back and say please pleasewell i dont know why i came here tonight i got the feeling that something aint right im so scared in case i fall off my chair and im wondering how ill get down the stairs clowns to the left of me jokers to the right here i am stuck in the middle with you yes im stuck in the middle with you stuck in the middle with you here i am stuck in the middle with you 
31,shambala,three dog night,1973,70,3,70, wash away my troubles wash away my pain with the rain in shambala wash away my sorrow wash away my shame with the rain in shambalachorus ah ooh yeah yeah yeah yeah yeaheveryone is helpful everyone is kind on the road to shambala everyone is lucky everyone is so kind on the road to shambalachorushow does your light shine in the halls of shambalai can tell my sister by the flowers in her eyes on the road to shambala i can tell my brother by the flowers in his eyes on the road to shambalachorushow does your light shine in the halls of shambala 
32,love train,the ojays,1973,69,2,70, people all over the world everybody join hands join start a love train love train people all over the world all the world now join hands love ride start a love train love ride love trainthe next stop that we make will be soon tell all the folks in russia and china too dont you know that its time to get on board and let this train keep on riding riding on through well wellpeople all over the world you dont need no money join hands come on start a love train love train dont need no ticket come on people all over the world join in ride this train join in ride this train yall start a love train come on train love trainall of you brothers over in africa tell all the folks in egypt and israel too please dont miss this train at the station cause if you miss it i feel sorry sorry for you wellpeople all over the world sisters and brothers join hands join come on start a love train ride this train yall love train come on people all over the world dont need no tickets join hands come on ride start a love train love trainride let it ride let it ride let it ride people aint no war people all over the world on this train join in ride the train start a love train love train ride the train yall people all over the world come on join hands you can ride or stand yeah start a love train love train makin love people all over the world round the world yall join hands come on start a love train love train 
33,im gonna love you just a little more baby,barry white,1973,68,3,70, it feels so good you lying here next to me oh what a groove you have no idea how it feels my hands just wont keep still i love you baby oh i love you i love you i love you i just wanna hold you run my fingers through your hair ooh outta sight uhhuh right there you like it like that closer come here closer closer oh baby oh babygive it up aint no use i couldnt help myself if i wanted to im hung up no doubt im so in love with you for me theres no way outcause deeper and deeper in love with you im falling sweeter and sweeter your tender words of love keep callingeager and eager yeah to feel your lips upon my face please her and please her any time or any placeim gonna love you love you love you just a little more baby im gonna need you need you need you every day im gonna want you want you want you in every way yeahmake no mistake for ill hold back knowing this time it looks like love is here to stay as long as i shall live ill give you all i have and all i have to givecause please her and please her any time or any place eager and eager to feel your sweet lips on my facedeeper and deeper in love with you im falling yeah sweeter and sweeter your tender words of love keep callingim gonna love you love you love you just a little more baby im gonna need you need you need you every day im gonna want you want you want you in every way 
34,say has anybody seen my sweet gypsy rose,tony orlando and dawn,1973,67,3,70,we were very happy well at least i thought we were cant somebody tell me whats got into her a house a home a family and a man that loves her so whod believe shed leave us to join the burlesque show oh say has anybody seen my sweet gypsy rose heres her picture when she was my sweet mary jo now shes got rings on her fingers and bells on her toes say has anybody seen my sweet gypsy rose oh i got wind my jos been dancin here in new orleans in this smokefilled honkytonk they call the land of dreams oh here she comes a strutting in her birthday clothes say has anybody seen my sweet gypsy rose oh baby baby wont you come home   baby baby baby wont you come on home say we all miss you   we all miss you and every night we kiss your picture oh rose one night the lights go dim and the crowd goes home thats the day you wake up and you find youre all alone so lets say goodbye to gypsy hello mary jo say has anybody seen my sweet gypsy rose sweet gypsy rose sweet gypsy rose so take those rings off your fingers and bells off your toes say has anybody seen my now you know just what i mean by has anybody seen my gypsy rose say has anybody seen his sweet gypsy rose heres her picture when she consist sweet mary jo say has anybody seen his sweet gypsy rose heres her picture when she was his sweet mary jo say has anybody seen
